d_year|c_nation|profit
1992|UNITED STATES|9849427653
1998|UNITED STATES|6009462019
1994|BRAZIL|9348651677
1994|PERU|9295265013
1993|BRAZIL|9468799229
1995|PERU|9778087211
1993|UNITED STATES|10003985086
1995|UNITED STATES|9310565244
1998|BRAZIL|5356398095
1994|CANADA|9582647596
1993|CANADA|9897302420
1996|BRAZIL|9168485151
1998|ARGENTINA|5834240407
1992|ARGENTINA|9658964469
1995|CANADA|9562612160
1995|BRAZIL|9156077350
1996|CANADA|10061604203
1998|CANADA|5423211196
1997|UNITED STATES|10506723879
1996|PERU|9355135674
1995|ARGENTINA|10143841380
1994|UNITED STATES|9519880425
1994|ARGENTINA|9940305215
1992|PERU|9410676597
1996|UNITED STATES|9769712174
1996|ARGENTINA|10001927895
1992|BRAZIL|9226983055
1997|ARGENTINA|9854560261
1997|PERU|9315525917
1992|CANADA|9643176787
1998|PERU|5726185970
1993|ARGENTINA|9976332853
1997|CANADA|10097371778
1993|PERU|9309445836
1997|BRAZIL|9121571047
